7.95792231126e-206
         7394535 function calls (7386676 primitive calls) in 143.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      471    0.003    0.000    0.003    0.000 artist.py:74(__init__)
        1    0.000    0.000    0.003    0.003 markers.py:5(<module>)
        1    0.003    0.003    0.003    0.003 __init__.py:4(<module>)
      100    0.002    0.000    0.003    0.000 {sum}
      641    0.002    0.000    0.003    0.000 transforms.py:127(set_children)
        1    0.000    0.000    0.003    0.003 axes.py:337(Axes)
        8    0.000    0.000    0.003    0.000 pyparsing_py2.py:3064(__init__)
        1    0.001    0.001    0.003    0.003 __init__.py:3(<module>)
1204/1202    0.003    0.000    0.003    0.000 pyparsing_py2.py:287(__init__)
        4    0.000    0.000    0.003    0.001 backend_agg.py:411(get_renderer)
        6    0.000    0.000    0.003    0.001 transforms.py:1543(clear)
     1304    0.002    0.000    0.003    0.000 cbook.py:419(iterable)
       51    0.000    0.000    0.003    0.000 axis.py:319(_get_text1_transform)
      200    0.001    0.000    0.003    0.000 function_base.py:412(average)
       50    0.000    0.000    0.003    0.000 markers.py:579(_set_tickright)
        2    0.000    0.000    0.003    0.002 backend_agg.py:62(__init__)
       51    0.000    0.000    0.003    0.000 axes.py:591(get_xaxis_text1_transform)
       50    0.000    0.000    0.003    0.000 markers.py:573(_set_tickleft)
        1    0.001    0.001    0.003    0.003 linsolve.py:1(<module>)
