29
         562568 function calls (559153 primitive calls) in 10.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.003    0.003 legend.py:13(<module>)
       49    0.001    0.000    0.003    0.000 linalg.py:1868(norm)
        1    0.000    0.000    0.003    0.003 markers.py:5(<module>)
     9766    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        1    0.002    0.002    0.003    0.003 triangulation.py:1(<module>)
        2    0.000    0.000    0.003    0.002 pyparsing_py2.py:3391(srange)
      323    0.003    0.000    0.003    0.000 transforms.py:127(set_children)
      107    0.001    0.000    0.003    0.000 transforms.py:703(__init__)
       21    0.000    0.000    0.003    0.000 transforms.py:2241(get_transformed_points_and_affine)
        1    0.001    0.001    0.003    0.003 contour.py:4(<module>)
        2    0.000    0.000    0.003    0.001 pyparsing_py2.py:1058(parseString)
        1    0.000    0.000    0.003    0.003 contour.py:1238(_process_args)
       21    0.000    0.000    0.003    0.000 transforms.py:2231(_revalidate)
        1    0.003    0.003    0.003    0.003 mathtext.py:19(<module>)
      379    0.001    0.000    0.003    0.000 posixpath.py:130(islink)
      471    0.002    0.000    0.003    0.000 posixpath.py:60(join)
       19    0.000    0.000    0.003    0.000 pkg_resources.py:2395(check_version_conflict)
       38    0.000    0.000    0.003    0.000 patches.py:547(get_patch_transform)
       14    0.000    0.000    0.003    0.000 pkgutil.py:176(find_module)
       39    0.003    0.000    0.003    0.000 {method 'set_text' of 'FT2Font' objects}
       38    0.000    0.000    0.003    0.000 patches.py:534(_update_patch_transform)
      143    0.001    0.000    0.003    0.000 colors.py:318(to_rgba)
        1    0.000    0.000    0.003    0.003 _internal.py:4(<module>)
        1    0.003    0.003    0.003    0.003 backend_agg.py:22(<module>)
    174/2    0.001    0.000    0.003    0.001 pyparsing_py2.py:926(_parseNoCache)
     30/2    0.000    0.000    0.003    0.001 pyparsing_py2.py:2406(parseImpl)
     1062    0.002    0.000    0.003    0.000 {method 'extend' of 'list' objects}
      125    0.000    0.000    0.003    0.000 transforms.py:1046(__add__)
        1    0.002    0.002    0.003    0.003 pickle.py:25(<module>)
        1    0.001    0.001    0.003    0.003 widgets.py:10(<module>)
        1    0.000    0.000    0.003    0.003 pyparsing_py2.py:3501(makeHTMLTags)
        1    0.000    0.000    0.003    0.003 pyparsing_py2.py:3472(_makeTags)
       57    0.000    0.000    0.003    0.000 transforms.py:748(from_extents)
       20    0.000    0.000    0.003    0.000 axis.py:341(_get_text1)
        1    0.002    0.002    0.003    0.003 socket.py:45(<module>)
        6    0.000    0.000    0.003    0.000 patches.py:371(draw)
       20    0.000    0.000    0.003    0.000 axis.py:484(_get_text1)
       53    0.000    0.000    0.003    0.000 transforms.py:738(from_bounds)
       85    0.001    0.000    0.003    0.000 text.py:150(__init__)
        1    0.000    0.000    0.003    0.003 fontconfig_pattern.py:74(__init__)
      125    0.000    0.000    0.002    0.000 transforms.py:2005(composite_transform_factory)
     56/2    0.000    0.000    0.002    0.001 pyparsing_py2.py:2679(parseImpl)
        2    0.000    0.000    0.002    0.001 pyparsing_py2.py:2826(parseImpl)
    13470    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      220    0.002    0.000    0.002    0.000 twodim_base.py:169(eye)
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
     20/8    0.000    0.000    0.002    0.000 pyparsing_py2.py:2531(parseImpl)
      105    0.001    0.000    0.002    0.000 font_manager.py:643(__init__)
     2577    0.002    0.000    0.002    0.000 {method 'readline' of 'file' objects}
     3051    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       20    0.000    0.000    0.002    0.000 axis.py:500(_get_text2)
     2673    0.001    0.000    0.002    0.000 sre_parse.py:195(match)
     1272    0.002    0.000    0.002    0.000 weakref.py:243(__init__)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:4(<module>)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pyplot.py:2462(plot)
        1    0.000    0.000    0.002    0.002 axes.py:3769(plot)
       20    0.000    0.000    0.002    0.000 axis.py:360(_get_text2)
