number of electrons 5
[[ 1.01279911  0.32329498]
 [ 1.1709741   1.20945125]
 [ 1.4161607   0.68041347]
 [ 1.10698975  1.34744279]]
         251990 function calls (248557 primitive calls) in 1.442 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.006    0.001    0.007    0.001 collections.py:237(namedtuple)
     4346    0.006    0.000    0.007    0.000 sre_parse.py:182(__next)
        2    0.000    0.000    0.007    0.004 pkg_resources.py:1820(declare_namespace)
       34    0.000    0.000    0.007    0.000 pkg_resources.py:1799(_handle_ns)
       13    0.000    0.000    0.007    0.001 backend_agg.py:161(draw_text)
       62    0.002    0.000    0.007    0.000 lines.py:387(recache)
       10    0.000    0.000    0.007    0.001 axis.py:1159(_copy_tick_props)
       41    0.000    0.000    0.007    0.000 pkg_resources.py:1892(normalize_path)
        1    0.000    0.000    0.007    0.007 platform.py:10(<module>)
        1    0.001    0.001    0.007    0.007 __init__.py:45(<module>)
       28    0.000    0.000    0.006    0.000 pkgutil.py:176(find_module)
      256    0.002    0.000    0.006    0.000 transforms.py:100(invalidate)
        1    0.004    0.004    0.006    0.006 subprocess.py:389(<module>)
        1    0.001    0.001    0.006    0.006 lines.py:4(<module>)
       37    0.000    0.000    0.006    0.000 artist.py:467(set_clip_path)
       11    0.000    0.000    0.006    0.001 artist.py:788(__init__)
       30    0.000    0.000    0.006    0.000 lines.py:911(update_from)
       11    0.003    0.000    0.006    0.001 artist.py:805(get_aliases)
        1    0.002    0.002    0.006    0.006 dates.py:109(<module>)
       22    0.000    0.000    0.006    0.000 pkg_resources.py:2343(insert_on)
        1    0.004    0.004    0.006    0.006 polynomial.py:54(<module>)
        6    0.000    0.000    0.006    0.001 string.py:148(substitute)
 1101/414    0.005    0.000    0.006    0.000 sre_parse.py:140(getwidth)
        1    0.000    0.000    0.006    0.006 codata.py:23(<module>)
        2    0.002    0.001    0.006    0.003 __init__.py:38(<module>)
      243    0.001    0.000    0.006    0.000 transforms.py:1455(__init__)
       11    0.003    0.000    0.006    0.001 artist.py:857(_get_setters_and_targets)
    10006    0.005    0.000    0.005    0.000 libferminode.py:15(phi2D)
      398    0.001    0.000    0.005    0.000 artist.py:830(get_valid_values)
