29
         229690 function calls (226275 primitive calls) in 1.378 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 figure.py:13(<module>)
       87    0.000    0.000    0.003    0.000 docstring.py:103(dedent_interpd)
       50    0.000    0.000    0.003    0.000 markers.py:576(_set_tickleft)
        1    0.002    0.002    0.003    0.003 triangulation.py:1(<module>)
       21    0.000    0.000    0.003    0.000 transforms.py:2241(get_transformed_points_and_affine)
        1    0.001    0.001    0.003    0.003 ctypeslib.py:51(<module>)
       52    0.003    0.000    0.003    0.000 sre_compile.py:258(_mk_bitmap)
      143    0.001    0.000    0.003    0.000 colors.py:318(to_rgba)
        4    0.003    0.001    0.003    0.001 {posix.fork}
       21    0.000    0.000    0.003    0.000 transforms.py:2231(_revalidate)
        2    0.000    0.000    0.003    0.002 pyparsing_py2.py:3391(srange)
        1    0.000    0.000    0.003    0.003 markers.py:5(<module>)
        1    0.000    0.000    0.003    0.003 pkg_resources.py:1820(declare_namespace)
       39    0.003    0.000    0.003    0.000 {method 'set_text' of 'FT2Font' objects}
       17    0.000    0.000    0.003    0.000 pkg_resources.py:1799(_handle_ns)
       49    0.001    0.000    0.003    0.000 linalg.py:1868(norm)
     9766    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.003    0.003 urlparse.py:29(<module>)
        1    0.001    0.001    0.003    0.003 contour.py:4(<module>)
        2    0.000    0.000    0.003    0.002 pyparsing_py2.py:1058(parseString)
      107    0.001    0.000    0.003    0.000 transforms.py:703(__init__)
        1    0.003    0.003    0.003    0.003 mathtext.py:19(<module>)
       19    0.000    0.000    0.003    0.000 pkg_resources.py:2395(check_version_conflict)
      471    0.002    0.000    0.003    0.000 posixpath.py:60(join)
      379    0.001    0.000    0.003    0.000 posixpath.py:130(islink)
      105    0.003    0.000    0.003    0.000 font_manager.py:768(get_size_in_points)
        1    0.001    0.001    0.003    0.003 parser.py:7(<module>)
        1    0.003    0.003    0.003    0.003 backend_agg.py:22(<module>)
        1    0.002    0.002    0.003    0.003 pickle.py:25(<module>)
      125    0.000    0.000    0.003    0.000 transforms.py:1046(__add__)
    174/2    0.001    0.000    0.003    0.001 pyparsing_py2.py:926(_parseNoCache)
        6    0.000    0.000    0.003    0.000 patches.py:371(draw)
     30/2    0.000    0.000    0.003    0.001 pyparsing_py2.py:2406(parseImpl)
        1    0.000    0.000    0.003    0.003 _internal.py:4(<module>)
       38    0.000    0.000    0.003    0.000 patches.py:547(get_patch_transform)
        1    0.000    0.000    0.003    0.003 pyparsing_py2.py:3501(makeHTMLTags)
        1    0.000    0.000    0.003    0.003 pyparsing_py2.py:3472(_makeTags)
     1062    0.002    0.000    0.003    0.000 {method 'extend' of 'list' objects}
       20    0.000    0.000    0.003    0.000 axis.py:341(_get_text1)
       38    0.000    0.000    0.003    0.000 patches.py:534(_update_patch_transform)
       57    0.000    0.000    0.003    0.000 transforms.py:748(from_extents)
        1    0.001    0.001    0.003    0.003 urllib.py:23(<module>)
        1    0.001    0.001    0.003    0.003 widgets.py:10(<module>)
       14    0.000    0.000    0.003    0.000 pkgutil.py:176(find_module)
     1272    0.003    0.000    0.003    0.000 weakref.py:243(__init__)
      125    0.000    0.000    0.003    0.000 transforms.py:2005(composite_transform_factory)
       53    0.000    0.000    0.003    0.000 transforms.py:738(from_bounds)
        1    0.002    0.002    0.003    0.003 image.py:5(<module>)
        1    0.002    0.002    0.003    0.003 socket.py:45(<module>)
        1    0.000    0.000    0.003    0.003 fontconfig_pattern.py:74(__init__)
     56/2    0.000    0.000    0.003    0.001 pyparsing_py2.py:2679(parseImpl)
       85    0.001    0.000    0.002    0.000 text.py:150(__init__)
        2    0.000    0.000    0.002    0.001 pyparsing_py2.py:2826(parseImpl)
        1    0.000    0.000    0.002    0.002 collections.py:884(__init__)
    13469    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     2577    0.002    0.000    0.002    0.000 {method 'readline' of 'file' objects}
        1    0.002    0.002    0.002    0.002 __init__.py:4(<module>)
     20/8    0.000    0.000    0.002    0.000 pyparsing_py2.py:2531(parseImpl)
        1    0.002    0.002    0.002    0.002 random.py:40(<module>)
        1    0.000    0.000    0.002    0.002 pyplot.py:2462(plot)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
    68/64    0.001    0.000    0.002    0.000 transforms.py:1733(transform)
     3051    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.002    0.002 axes.py:3769(plot)
      220    0.002    0.000    0.002    0.000 twodim_base.py:169(eye)
     2673    0.001    0.000    0.002    0.000 sre_parse.py:195(match)
        1    0.000    0.000    0.002    0.002 plistlib.py:68(readPlist)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
       20    0.000    0.000    0.002    0.000 axis.py:484(_get_text1)
      105    0.001    0.000    0.002    0.000 font_manager.py:643(__init__)
        1    0.001    0.001    0.002    0.002 plistlib.py:400(parse)
       20    0.000    0.000    0.002    0.000 axis.py:360(_get_text2)
      227    0.001    0.000    0.002    0.000 artist.py:648(update)
        1    0.000    0.000    0.002    0.002 plistlib.py:51(<module>)
       20    0.000    0.000    0.002    0.000 axis.py:500(_get_text2)
      140    0.000    0.000    0.002    0.000 cm.py:57(_generate_cmap)
     5104    0.002    0.000    0.002    0.000 {getattr}
       24    0.000    0.000    0.002    0.000 transforms.py:1156(transform_path_non_affine)
        1    0.000    0.000    0.002    0.002 collections.py:75(__init__)
       28    0.002    0.000    0.002    0.000 {dir}
        1    0.002    0.002    0.002    0.002 heapq.py:31(<module>)
      257    0.002    0.000    0.002    0.000 artist.py:74(__init__)
        1    0.000    0.000    0.002    0.002 texmanager.py:34(<module>)
        6    0.000    0.000    0.002    0.000 colors.py:356(to_rgba_array)
        1    0.000    0.000    0.002    0.002 axes.py:337(Axes)
        2    0.000    0.000    0.002    0.001 contour.py:963(changed)
        1    0.002    0.002    0.002    0.002 transforms.py:30(<module>)
        1    0.001    0.001    0.002    0.002 afm.py:35(<module>)
        3    0.000    0.000    0.002    0.001 transforms.py:1546(clear)
       24    0.002    0.000    0.002    0.000 {posix.listdir}
        1    0.001    0.001    0.002    0.002 basic.py:5(<module>)
      534    0.001    0.000    0.002    0.000 cbook.py:431(is_string_like)
       40    0.000    0.000    0.002    0.000 pkg_resources.py:2136(from_location)
      379    0.002    0.000    0.002    0.000 {posix.lstat}
       42    0.000    0.000    0.002    0.000 pyparsing_py2.py:704(copy)
        1    0.000    0.000    0.002    0.002 arrayprint.py:4(<module>)
       44    0.000    0.000    0.002    0.000 transforms.py:1762(transform_non_affine)
     16/8    0.000    0.000    0.002    0.000 __init__.py:265(wrapper)
       44    0.000    0.000    0.002    0.000 copy.py:66(copy)
        1    0.000    0.000    0.002    0.002 collections.py:232(draw)
        1    0.000    0.000    0.002    0.002 compat.py:3(<module>)
        1    0.000    0.000    0.002    0.002 textwrap.py:348(fill)
     3627    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      262    0.001    0.000    0.002    0.000 transforms.py:1411(transform)
        2    0.000    0.000    0.002    0.001 cm.py:185(to_rgba)
        1    0.001    0.001    0.002    0.002 tz.py:6(<module>)
        2    0.001    0.000    0.002    0.001 function_base.py:1(<module>)
        2    0.000    0.000    0.002    0.001 axis.py:929(_update_ticks)
        1    0.002    0.002    0.002    0.002 offsetbox.py:15(<module>)
        6    0.000    0.000    0.002    0.000 pyparsing_py2.py:3064(__init__)
        1    0.001    0.001    0.002    0.002 __init__.py:701(rc_params)
        2    0.000    0.000    0.002    0.001 numeric.py:1437(array_str)
        2    0.000    0.000    0.002    0.001 arrayprint.py:335(array2string)
        4    0.000    0.000    0.002    0.000 __init__.py:468(_get_configdir)
    88/68    0.000    0.000    0.002    0.000 transforms.py:1913(transform)
        2    0.000    0.000    0.002    0.001 arrayprint.py:225(_array2string)
        2    0.000    0.000    0.002    0.001 axes.py:1822(autoscale_view)
     12/6    0.000    0.000    0.002    0.000 pyparsing_py2.py:2685(leaveWhitespace)
        1    0.001    0.001    0.002    0.002 result.py:1(<module>)
      323    0.001    0.000    0.002    0.000 transforms.py:127(set_children)
     1180    0.001    0.000    0.002    0.000 core.py:5641(isMaskedArray)
        1    0.000    0.000    0.002    0.002 polynomial.py:3(<module>)
       20    0.000    0.000    0.002    0.000 transforms.py:1120(transform_point)
      639    0.001    0.000    0.002    0.000 cbook.py:422(iterable)
       21    0.000    0.000    0.002    0.000 backend_agg.py:106(draw_markers)
       71    0.000    0.000    0.001    0.000 docstring.py:117(<lambda>)
        1    0.001    0.001    0.001    0.001 mlab.py:142(<module>)
     1404    0.001    0.000    0.001    0.000 artist.py:886(is_alias)
        4    0.000    0.000    0.001    0.000 spines.py:261(draw)
        2    0.000    0.000    0.001    0.001 backend_agg.py:439(get_renderer)
        6    0.000    0.000    0.001    0.000 backend_agg.py:123(draw_path)
       10    0.000    0.000    0.001    0.000 colors.py:696(from_list)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
       81    0.000    0.000    0.001    0.000 transforms.py:1874(__init__)
     3530    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.001    0.001 contour.py:1055(_process_colors)
       21    0.001    0.000    0.001    0.000 {built-in method draw_markers}
       12    0.000    0.000    0.001    0.000 axis.py:880(iter_ticks)
